ActivityStartDate,CharacteristicName,ResultMeasureValue
10/9/2017,pH,7.65
10/9/2017,DO,7.91
10/9/2017,Nitrate,1.25
10/9/2017,temp,21.41
10/9/2017,Nitrite,0.028
11/6/2017,pH,7.38
11/6/2017,Nitrate,0.873
11/6/2017,DO,9.67
11/6/2017,temp,13.52
11/6/2017,Nitrite,0.009
12/18/2017,pH,7.59
12/18/2017,DO,13.41
12/18/2017,Nitrate,1.26
12/18/2017,temp,1.85
12/18/2017,Nitrite,0.013
1/16/2018,pH,7.54
1/16/2018,DO,13.32
1/16/2018,Nitrate,1.24
1/16/2018,temp,1.86
1/16/2018,Nitrite,0.012
2/15/2018,pH,7.8
2/15/2018,DO,13.14
2/15/2018,Nitrate,1.32
2/15/2018,temp,3.6
2/15/2018,Nitrite,0.0084
3/19/2018,Nitrate,0.919
3/19/2018,DO,12.7
3/19/2018,pH,7.43
3/19/2018,temp,4.8
3/19/2018,Nitrite,0.005
4/23/2018,pH,7.48
4/23/2018,DO,11.54
4/23/2018,temp,10.32
4/23/2018,Nitrate,0.95
4/23/2018,Nitrite,0.005
5/7/2018,Nitrate,0.686
5/7/2018,pH,7.32
5/7/2018,temp,17.85
5/7/2018,DO,8.69
5/7/2018,Nitrite,0.01
6/11/2018,DO,7.8
6/11/2018,pH,7.38
6/11/2018,Nitrate,1.58
6/11/2018,temp,20.57
6/11/2018,Nitrite,0.017
7/9/2018,Nitrite,0.032
7/9/2018,Nitrite,0.032
7/9/2018,temp,27.13
7/9/2018,DO,6.34
7/9/2018,pH,7.44
7/9/2018,Nitrate,1.14
7/9/2018,temp,27.15
7/9/2018,DO,6.33
7/9/2018,pH,7.44
7/9/2018,Nitrate,1.14
8/13/2018,DO,7.93
8/13/2018,temp,23.05
8/13/2018,pH,7.43
8/13/2018,Nitrate,0.808
8/13/2018,Nitrite,0.008
9/17/2018,Nitrate,0.781
9/17/2018,temp,22.14
9/17/2018,DO,8.43
9/17/2018,pH,7.38
9/17/2018,Nitrite,0.008
10/8/2018,Nitrite,0.0053
10/8/2018,temp,18.74
10/8/2018,Nitrate,0.686
10/8/2018,pH,7.36
10/8/2018,DO,9.02
11/7/2018,Nitrate,0.767
11/7/2018,DO,10.83
11/7/2018,pH,7.32
11/7/2018,temp,10.49
11/7/2018,Nitrite,0.005
12/2/2018,Nitrate,1.22
12/2/2018,DO,13.39
12/2/2018,pH,7.57
12/2/2018,temp,1.86
12/2/2018,Nitrite,0.012
1/25/2019,Nitrate,1.23
1/25/2019,DO,13.24
1/25/2019,pH,7.54
1/25/2019,temp,2.39
1/25/2019,Nitrite,0.013
2/26/2019,temp,3.58
2/26/2019,Nitrate,1.23
2/26/2019,DO,13.16
2/26/2019,pH,7.69
2/26/2019,Nitrite,0.008
3/11/2019,Nitrite,0.014
3/11/2019,Nitrate,0.982
3/11/2019,temp,4.93
3/11/2019,DO,13.32
3/11/2019,pH,7.91
3/25/2019,pH,7.48
3/25/2019,DO,12.45
3/25/2019,Nitrate,0.818
3/25/2019,temp,7.19
3/25/2019,Nitrite,0.009
4/22/2019,DO,10.03
4/22/2019,temp,13.82
4/22/2019,Nitrate,0.6
4/22/2019,pH,6.92
4/22/2019,Nitrite,0.006
5/20/2019,Nitrate,0.794
5/20/2019,pH,7.35
5/20/2019,DO,9.32
5/20/2019,temp,21.45
5/20/2019,Nitrite,0.007
6/17/2019,Nitrite,0.013
6/17/2019,Nitrite,0.013
6/17/2019,temp,23.79
6/17/2019,pH,7.33
6/17/2019,DO,8.59
6/17/2019,Nitrate,0.812
6/17/2019,Nitrate,0.839
6/17/2019,DO,8.58
6/17/2019,temp,23.77
6/17/2019,pH,7.34
7/15/2019,Nitrite,0.025
7/15/2019,Nitrate,1.01
7/15/2019,pH,7.04
7/15/2019,temp,25.45
7/15/2019,DO,6.95
8/27/2019,Nitrite,0.028
8/27/2019,temp,23.47
8/27/2019,DO,6.42
8/27/2019,Nitrate,1.29
8/27/2019,pH,7.25
9/9/2019,Nitrite,0.036
9/9/2019,temp,23.55
9/9/2019,Nitrate,1.52
9/9/2019,DO,6.57
9/9/2019,pH,7.35
10/7/2019,Nitrite,0.055
10/7/2019,DO,6.9
10/7/2019,pH,7.39
10/7/2019,temp,21.6
10/7/2019,Nitrate,1.68
11/4/2019,pH,7.6
11/4/2019,temp,10.68
11/4/2019,DO,10.35
11/4/2019,Nitrate,0.784
11/4/2019,Nitrite,0.008
12/17/2019,Nitrite,0.014
12/17/2019,pH,7.61
12/17/2019,temp,1.96
12/17/2019,DO,13.32
12/17/2019,Nitrate,1.26
1/14/2020,Nitrite,0.013
1/14/2020,pH,7.65
1/14/2020,temp,2.45
1/14/2020,DO,13.28
1/14/2020,Nitrate,1.22
2/24/2020,Nitrite,0.01
2/24/2020,Nitrite,0.01
2/24/2020,DO,13.99
2/24/2020,Nitrate,0.683
2/24/2020,temp,4.75
2/24/2020,pH,7.74
2/24/2020,pH,7.74
2/24/2020,temp,4.75
2/24/2020,Nitrate,0.012
2/24/2020,DO,14
2/24/2020,Nitrate,0.871
3/9/2020,Nitrite,0.013
3/9/2020,Nitrate,0.729
3/9/2020,DO,13.34
3/9/2020,temp,7.48
3/9/2020,pH,8.03
4/20/2020,Nitrite,0.012
4/20/2020,DO,11.03
4/20/2020,temp,14.89
4/20/2020,Nitrate,0.43
4/20/2020,pH,7.42
5/21/2020,Nitrite,0.014
5/21/2020,Nitrate,0.743
5/21/2020,pH,7.36
5/21/2020,DO,10.21
5/21/2020,temp,21.96
6/15/2020,Nitrite,0.015
6/15/2020,temp,24.12
6/15/2020,pH,7.42
6/15/2020,DO,9.59
6/15/2020,Nitrate,0.724
7/18/2020,Nitrite,0.026
7/18/2020,Nitrate,0.98
7/18/2020,pH,7.54
7/18/2020,temp,25.69
7/18/2020,DO,7.95
8/30/2020,Nitrite,0.032
8/30/2020,temp,25.47
8/30/2020,DO,8.42
8/30/2020,Nitrate,1.19
8/30/2020,pH,7.65
9/10/2020,Nitrite,0.039
9/10/2020,temp,23.78
9/10/2020,Nitrate,1.32
9/10/2020,DO,7.57
9/10/2020,pH,7.85
