ActivityStartDate,CharacteristicName,ResultMeasureValue
10/26/2017,temp,15.2
10/26/2017,pH,8.2
10/26/2017,pH,8.1
10/26/2017,Nitrite,0.006
10/26/2017,Nitrate,1.14
10/26/2017,Nitrate,5.03
10/26/2017,Nitrite,0.02
10/26/2017,pH,8
10/26/2017,pH,8.22
10/26/2017,Nitrate,1.2
10/26/2017,DO,10.44
10/26/2017,Nitrate,1.24
10/26/2017,temp,15.18
10/26/2017,pH,8
11/15/2017,temp,13.16
11/15/2017,pH,8.2
11/15/2017,Nitrate,1.23
11/15/2017,Nitrite,0.012
11/15/2017,DO,11.25
11/15/2017,pH,8
11/15/2017,Nitrate,1.21
12/4/2017,temp,4.3
12/4/2017,pH,8
12/4/2017,pH,7.9
12/4/2017,Nitrite,0.009
12/4/2017,Nitrate,1.24
12/4/2017,Nitrite,0.03
12/4/2017,Nitrate,5.5
12/4/2017,temp,4.6
12/4/2017,pH,7.7
12/4/2017,pH,7.97
12/4/2017,pH,7.8
12/4/2017,temp,4.32
12/4/2017,DO,13.42
12/4/2017,Nitrate,1.24
1/31/2018,temp,1.2
1/31/2018,pH,7.6
1/31/2018,pH,7.8
1/31/2018,Nitrite,0.005
1/31/2018,DO,13.6
1/31/2018,Nitrate,0.916
1/31/2018,Nitrate,4.06
1/31/2018,Nitrite,0.017
2/15/2018,pH,7.5
2/15/2018,temp,3.2
2/15/2018,pH,7.2
2/15/2018,Nitrite,0.004
2/15/2018,Nitrate,1.01
2/15/2018,Nitrate,4.49
2/15/2018,Nitrite,0.014
2/15/2018,DO,14.26
2/15/2018,pH,7.55
2/15/2018,pH,7.7
2/15/2018,Nitrate,1
2/15/2018,temp,3.19
2/26/2018,temp,5.1
2/26/2018,pH,7.5
2/26/2018,temp,5.2
2/26/2018,pH,7.5
2/26/2018,pH,7.4
2/26/2018,Nitrite,0.004
2/26/2018,Nitrate,0.789
2/26/2018,Nitrate,3.49
2/26/2018,Nitrite,0.013
3/16/2018,temp,4.3
3/16/2018,pH,7.7
3/16/2018,pH,7.6
3/16/2018,Nitrite,0.004
3/16/2018,Nitrate,0.918
3/16/2018,Nitrate,4.06
3/16/2018,Nitrite,0.013
3/26/2018,temp,6.4
3/26/2018,pH,8.4
3/26/2018,DO,13.65
3/26/2018,pH,8
3/26/2018,Nitrite,0.006
3/26/2018,Nitrate,0.918
3/26/2018,Nitrate,4.06
3/26/2018,Nitrite,0.02
4/17/2018,temp,8.3
4/17/2018,pH,7.4
4/17/2018,pH,7.8
4/17/2018,Nitrite,0.009
4/17/2018,Nitrate,0.81
4/17/2018,Nitrate,3.59
4/17/2018,Nitrite,0.029
4/17/2018,Nitrate,0.88
4/17/2018,pH,7.43
4/17/2018,DO,11.9
4/17/2018,pH,7.9
4/17/2018,temp,8.32
4/30/2018,temp,12.1
4/30/2018,pH,7.5
4/30/2018,pH,7.5
4/30/2018,Nitrite,0.005
4/30/2018,Nitrate,0.655
4/30/2018,Nitrate,2.9
4/30/2018,Nitrite,0.017
5/21/2018,Nitrate,0.62
5/21/2018,pH,7.44
5/21/2018,temp,15.87
5/21/2018,DO,9.95
5/21/2018,pH,7.6
5/23/2018,temp,16.1
5/23/2018,pH,7.1
5/23/2018,pH,7.7
5/23/2018,Nitrite,0.004
5/23/2018,Nitrate,0.693
5/23/2018,Nitrate,3.07
5/23/2018,Nitrite,0.013
5/31/2018,temp,19.5
5/31/2018,pH,7.8
5/31/2018,temp,19.3
5/31/2018,pH,7.4
5/31/2018,pH,7.8
5/31/2018,Nitrite,0.007
5/31/2018,Nitrate,0.908
5/31/2018,Nitrate,4.02
5/31/2018,Nitrite,0.024
6/19/2018,temp,26.2
6/19/2018,pH,9.1
6/19/2018,pH,9
6/19/2018,Nitrite,0.007
6/19/2018,Nitrate,0.648
6/19/2018,Nitrate,2.87
6/19/2018,Nitrite,0.021
6/19/2018,pH,9
6/19/2018,pH,9.12
