ActivityStartDate,CharacteristicName,ResultMeasureValue
8/4/2018,temp,27.9
8/4/2018,temp,27
7/9/2018,temp,26.02
5/20/2019,temp,25.92
5/20/2019,temp,25.88
6/3/2019,temp,25.5
7/6/2020,temp,25.29
5/27/2019,temp,25.2
7/15/2019,temp,25.09
6/23/2019,temp,24.4
9/17/2018,temp,23.88
6/1/2019,temp,23.4
8/25/2020,temp,23.2
8/13/2018,temp,23.1
6/20/2020,temp,23.1
9/11/2020,temp,22.93
6/17/2019,temp,22.87
6/15/2019,temp,22.8
9/9/2019,temp,22.74
9/9/2019,temp,22.73
8/27/2019,temp,22.32
10/9/2017,temp,21.96
10/7/2019,temp,21.29
6/11/2018,temp,20.94
6/8/2019,temp,20.4
6/10/2019,temp,20.4
10/8/2018,temp,18.96
5/7/2018,temp,17.42
4/19/2020,temp,16.45
5/20/2019,temp,16.1
4/22/2019,temp,15.43
11/6/2017,temp,14.52
11/7/2018,temp,14.26
12/18/2017,DO,13.93
12/18/2017,DO,13.93
12/4/2018,DO,13.8
2/24/2020,DO,13.47
1/15/2018,DO,13.4
5/13/2020,temp,13.4
2/26/2019,DO,13.25
2/26/2019,DO,13.24
1/13/2018,DO,13.21
3/11/2019,DO,12.94
5/13/2019,temp,12.9
2/22/2018,DO,12.89
3/9/2020,DO,12.88
3/9/2020,DO,12.78
3/19/2018,DO,12.62
3/25/2019,DO,12.38
4/23/2018,DO,11.49
4/23/2018,temp,11.32
1/16/2019,DO,11.2
11/4/2019,temp,10.88
11/4/2019,temp,10.88
11/7/2018,DO,10.58
11/4/2019,DO,10.4
11/4/2019,DO,10.4
3/19/2019,temp,10.32
12/19/2019,DO,10.3
11/6/2017,DO,10.15
4/22/2019,DO,10.13
4/19/2020,DO,10
3/9/2020,temp,9.94
3/9/2020,temp,9.81
10/8/2018,DO,9.29
5/13/2020,DO,9.2
10/9/2017,DO,9.11
5/20/2019,DO,9.1
5/20/2019,DO,9.1
5/7/2018,DO,9.08
7/9/2018,DO,8.95
9/17/2018,DO,8.59
6/11/2018,DO,8.43
6/17/2019,DO,8.43
6/20/2020,DO,8.42
8/4/2018,DO,8.3
10/9/2017,pH,8.21
9/9/2019,DO,8.11
9/9/2019,DO,8.1
10/7/2019,DO,8.1
8/13/2018,DO,7.97
3/9/2020,pH,7.93
3/9/2020,pH,7.93
3/11/2019,pH,7.86
8/4/2018,pH,7.8
2/24/2020,pH,7.8
7/9/2018,pH,7.77
2/22/2018,pH,7.76
1/16/2019,pH,7.75
1/15/2018,pH,7.7
11/4/2019,pH,7.7
11/4/2019,pH,7.7
12/19/2019,pH,7.7
8/27/2019,DO,7.69
7/6/2020,DO,7.69
2/26/2019,pH,7.69
2/26/2019,pH,7.69
11/6/2017,pH,7.68
12/18/2017,pH,7.68
12/18/2017,pH,7.68
5/13/2020,pH,7.68
1/13/2018,pH,7.65
4/23/2018,pH,7.6
10/7/2019,pH,7.6
7/15/2019,DO,7.59
9/17/2018,pH,7.55
12/4/2018,pH,7.55
3/19/2018,pH,7.53
4/19/2020,pH,7.53
6/11/2018,pH,7.52
9/11/2020,pH,7.5
9/9/2019,pH,7.49
9/9/2019,pH,7.49
10/8/2018,pH,7.48
5/20/2019,pH,7.48
5/20/2019,pH,7.48
6/20/2020,pH,7.48
7/15/2019,pH,7.47
3/25/2019,pH,7.45
7/6/2020,pH,7.45
11/7/2018,pH,7.42
8/4/2018,pH,7.4
5/7/2018,pH,7.38
8/13/2018,pH,7.38
6/17/2019,pH,7.38
8/27/2019,pH,7.22
8/25/2020,pH,7.22
8/4/2018,DO,7.2
9/11/2020,DO,7.2
4/22/2019,pH,7.03
3/25/2019,temp,6.99
